wavelength(m), Re(n_xx), Im(n_xx)
0.0001000564516000000, 4.006500000000000, 0.003000000000000000
9.096041056000000e-05, 4.006300000000000, 0.002400000000000000
8.338037633999999e-05, 4.006000000000001, 0.001700000000000000
7.696650123999999e-05, 4.006000000000000, 0.001550000000000000
7.146889401000000e-05, 4.006000000000001, 0.001500000000000000
4.002258065000000e-05, 3.982699999999999, 0.0008500000000000001
3.450222469000000e-05, 3.990000000000000, 0.003050000000000000
3.126764113000000e-05, 3.993000000000000, 0.002900000000000000
2.704817964000000e-05, 3.995500000000000, 0.002500000000000000
2.001451847000000e-05, 3.999200000000000, 0.0003980000000000000
1.853174010000000e-05, 4, 0.0004300000000000000
1.601109821000000e-05, 4.000900000000000, 9.549999999999998e-05
1.551068884000000e-05, 4.001100000000000, 0.0001710000000000000
1.500967820000000e-05, 4.001300000000000, 9.780000000000003e-05
1.450941410000000e-05, 4.001500000000000, 5.770000000000001e-05
1.240700000000000e-05, 4.006300000000000, 3.700000000000000e-05
2.067833333000000e-06, 4.104000000000000, 6.579999999999999e-07
1.772428571000000e-06, 4.180000000000000, 0.0001270000000000000
1.550875000000000e-06, 4.275000000000000, 0.005670000000000000
1.378555556000000e-06, 4.285000000000000, 0.07450000000000000
1.240700000000000e-06, 4.325000000000000, 0.08089999999999999
1.127909091000000e-06, 4.385000000000000, 0.1030000000000000
1.033916667000000e-06, 4.420000000000000, 0.1230000000000000
9.543846149999999e-07, 4.495000000000000, 0.1670000000000000
8.862142859999999e-07, 4.560000000000000, 0.1900000000000000
8.271333330000001e-07, 4.635000000000000, 0.2979999999999999
7.754375000000000e-07, 4.763000000000000, 0.3450000000000000
7.298235289999999e-07, 4.897000000000000, 0.4010000000000000
6.892777780000001e-07, 5.067000000000000, 0.4999999999999999
6.529999999999999e-07, 5.380000000000000, 0.5400000000000000
6.203499999999999e-07, 5.588000000000000, 0.9329999999999999
5.908095239999998e-07, 5.747999999999999, 1.634000000000000
5.639545450000001e-07, 5.283000000000000, 2.049000000000000
5.394347830000000e-07, 5.062000000000000, 2.318000000000000
5.169583330000000e-07, 4.610000000000000, 2.455000000000000
4.962800000000000e-07, 4.340000000000000, 2.384000000000000
4.771923080000001e-07, 4.180000000000000, 2.309000000000001
4.595185190000001e-07, 4.082000000000000, 2.240000000000000
4.431071430000000e-07, 4.035000000000000, 2.181000000000000
4.278275859999999e-07, 4.037000000000000, 2.140000000000000
4.135666669999999e-07, 4.082000000000000, 2.145000000000000
4.002258060000001e-07, 4.141000000000000, 2.215000000000000
3.877187500000000e-07, 4.157000000000000, 2.340000000000000
3.759696970000000e-07, 4.128000000000000, 2.469000000000000
3.649117650000000e-07, 4.070000000000000, 2.579000000000000
3.544857140000000e-07, 4.020000000000000, 2.667000000000000
3.446388890000000e-07, 3.985000000000000, 2.759000000000000
3.353243240000000e-07, 3.958000000000000, 2.863000000000000
3.265000000000000e-07, 3.936000000000000, 2.986000000000001
3.181282050000000e-07, 3.920000000000000, 3.137000000000000
3.101750000000000e-07, 3.905000000000000, 3.336000000000000
3.026097560000000e-07, 3.869000000000000, 3.614000000000000
2.954047619999999e-07, 3.745000000000000, 4.009000000000000
2.885348839999999e-07, 3.338000000000000, 4.507000000000000
2.819772729999999e-07, 2.516000000000000, 4.669000000000000
2.757111110000000e-07, 1.953000000000000, 4.297000000000000
2.697173910000000e-07, 1.720000000000000, 3.960000000000000
2.639787230000001e-07, 1.586000000000000, 3.709000000000000
2.584791670000000e-07, 1.498000000000000, 3.509000000000000
2.532040820000000e-07, 1.435000000000000, 3.342000000000000
2.481400000000000e-07, 1.394000000000000, 3.197000000000000
2.432745100000000e-07, 1.370000000000000, 3.073000000000000
2.385961540000001e-07, 1.364000000000000, 2.972999999999999
2.340943400000000e-07, 1.371000000000000, 2.897000000000000
2.297592590000000e-07, 1.383000000000000, 2.854000000000000
2.255818180000000e-07, 1.380000000000000, 2.842000000000000
2.215535710000000e-07, 1.360000000000000, 2.846000000000001
2.176666670000000e-07, 1.293000000000000, 2.163000000000000
2.139137930000000e-07, 1.209000000000000, 2.873000000000000
2.102881359999999e-07, 1.108000000000000, 2.813000000000000
2.067833330000000e-07, 1.300000000000000, 2.340000000000000
1.908769230000000e-07, 1.100000000000000, 2.050000000000000
1.772428570000000e-07, 0.9999999999999999, 1.800000000000000
1.550875000000000e-07, 0.9200000000000000, 1.400000000000000
1.459647060000000e-07, 0.9199999999999999, 1.200000000000000
1.378555560000000e-07, 0.9200000000000000, 1.140000000000000
1.240700000000000e-07, 0.9300000000000000, 0.8600000000000000
