lambda_um,energy_eV,n,k,alpha_cm_inv,material,model,source,strain_state,reference,notes
1.2407000000000001,0.9993084420085434,4.325,0.0808999999999999,8193.917810120543,Ge,LumericalCRC,Lumerical standard Ge CRC,unstrained,/Users/yuyamaeda/Documents/Programs/Ge_nk_dev/bgdata/Ge (Germanium) - CRC.csv,Local user-provided Lumerical/CRC benchmark data; not model coefficients.
1.378555556,0.899377597517731,4.285,0.0745,6791.127181600205,Ge,LumericalCRC,Lumerical standard Ge CRC,unstrained,/Users/yuyamaeda/Documents/Programs/Ge_nk_dev/bgdata/Ge (Germanium) - CRC.csv,Local user-provided Lumerical/CRC benchmark data; not model coefficients.
1.550875,0.7994467536068348,4.275,0.00567,459.4265906885887,Ge,LumericalCRC,Lumerical standard Ge CRC,unstrained,/Users/yuyamaeda/Documents/Programs/Ge_nk_dev/bgdata/Ge (Germanium) - CRC.csv,Local user-provided Lumerical/CRC benchmark data; not model coefficients.
